"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,1,"556.0","727.0",2,34,-10,2,"1",1,"Tired"
"2",1,2,"926.0","728.0",1,10,10,2,"1",2,"Tired"
"3",1,2,"926.0","728.0",1,10,10,3,"2",3,"Calm"
"4",1,3,"762.0","936.0",2,5,0,2,"1",4,"Bored"
"5",1,4,"927.0","1104.0",2,0,-5,2,"1",5,"Bored"
"6",1,4,"927.0","1104.0",2,0,-5,4,"2",6,"Hungry"
"7",1,5,"634.0","825.0",2,35,20,4,"1",7,"Mischievous"
"8",1,5,"634.0","825.0",2,35,20,3,"2",8,"Hilarious"
"9",1,6,"699.0","893.0",2,25,15,4,"1",9,"Full"
"10",1,6,"699.0","893.0",2,25,15,3,"2",10,"Content"
"11",1,7,"862.0","681.0",1,20,5,3,"1",11,"Content"
"12",1,7,"862.0","681.0",1,20,5,3,"2",12,"Relaxed"
"13",1,9,"789.0","971.0",2,0,-10,5,"1",13,"Bored"
"14",1,9,"789.0","971.0",2,0,-10,2,"2",14,"Tired"
"15",1,10,"653.0","931.0",2,-10,-20,4,"1",15,"Bored"
"16",1,10,"653.0","931.0",2,-10,-20,5,"2",16,"Tired"
"17",1,11,"890.0","713.0",1,15,15,2,"1",17,"Excited"
"18",1,11,"890.0","713.0",1,15,15,3,"2",18,"Relieved"
"19",1,12,"683.0","872.0",2,25,-25,4,"1",19,"Content"
"20",1,12,"683.0","872.0",2,25,-25,2,"2",20,"Tired"
"21",1,12,"683.0","872.0",2,25,-25,3,"3",21,"Relaxed"
"22",1,13,"691.0","896.0",2,20,-25,4,"1",22,"Tired"
"23",1,13,"691.0","896.0",2,20,-25,3,"2",23,"Relaxed"
"24",2,1,"956.0","785.0",1,25,0,2,"1",1,"Tired"
"25",2,1,"956.0","785.0",1,25,0,2,"2",2,"Hungry"
"26",2,2,"955.0","785.0",1,15,0,2,"1",3,"Tired"
