"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,2,"593.0","770.0",2,2,8,2,"1",1,"rested"
"2",1,3,"589.0","764.0",2,17,32,3,"1",2,"relaxed"
"3",1,4,"530.0","700.0",2,7,33,3,"1",3,"happy"
"4",1,5,"533.0","701.0",2,14,15,3,"1",4,"happy"
"5",1,7,"821.0","636.0",1,40,45,2,"1",5,"relaxed"
"6",2,1,"991.0","1174.0",2,26,28,2,"1",1,"relaxed"
"7",2,2,"720.0","872.0",2,27,17,3,"1",2,"relaxed"
"8",2,3,"764.0","1081.0",2,31,41,3,"1",3,"happy"
"9",2,4,"689.0","894.0",2,21,17,2,"1",4,"tensed"
"10",2,6,"782.0","630.0",1,32,8,4,"1",5,"relaxed"
"11",2,7,"751.0","1072.0",2,37,40,3,"1",6,"contented"
"12",3,1,"573.0","752.0",2,20,15,4,"1",1,"happy"
"13",3,2,"629.0","776.0",2,36,32,4,"1",2,"peaceful"
"14",3,3,"801.0","668.0",1,28,29,2,"1",3,"happy"
"15",3,4,"799.0","666.0",1,34,30,2,"1",4,"content"
"16",3,6,"576.0","714.0",2,27,26,3,"1",5,"happy"
"17",3,8,"523.0","656.0",2,38,40,3,"1",6,"pleasant"
"18",3,9,"715.0","854.0",2,24,29,3,"1",7,"energetic"
"19",4,1,"671.0","795.0",2,18,18,2,"1",1,"relaxed"
"20",4,3,"824.0","697.0",1,26,26,2,"1",2,"relaxed"
"21",4,4,"963.0","846.0",1,-50,13,2,"1",3,"relaxed"
"22",4,5,"757.0","875.0",2,15,20,3,"1",4,"peaceful"
"23",4,6,"820.0","704.0",1,25,19,3,"1",5,"peaceful"
"24",4,7,"728.0","850.0",2,30,33,3,"1",6,"relaxed"
"25",4,8,"575.0","698.0",2,26,36,2,"1",7,"relaxed"
"26",4,9,"641.0","759.0",2,25,20,2,"1",8,"stressed"
"27",4,10,"761.0","642.0",1,21,20,3,"1",9,"stressed"
"28",4,11,"732.0","615.0",1,33,30,3,"1",10,"relaxed"
"29",4,12,"683.0","818.0",2,27,26,3,"1",11,"relaxed"
"30",4,13,"975.0","858.0",1,8,20,3,"1",12,"peaceful"
"31",4,14,"675.0","558.0",1,20,20,3,"1",13,"peaceful"
"32",4,15,"713.0","588.0",1,19,18,3,"1",14,"peaceful"
"33",4,16,"661.0","779.0",2,15,11,3,"1",15,"peaceful"
"34",4,17,"581.0","697.0",2,16,17,2,"1",16,"peaceful"
"35",4,18,"622.0","746.0",2,24,23,3,"1",17,"happy"
"36",4,19,"740.0","620.0",1,20,18,3,"1",18,"happy"
"37",4,20,"618.0","743.0",2,20,22,3,"1",19,"happy"
"38",4,21,"757.0","633.0",1,24,21,2,"1",20,"serious"
"39",4,22,"772.0","652.0",1,32,0,3,"1",21,"funny"
"40",4,23,"735.0","619.0",1,-1,7,2,"1",22,"confusion"
"41",4,25,"703.0","584.0",1,21,17,3,"1",23,"serious"
"42",4,26,"658.0","870.0",2,24,14,3,"1",24,"happy"
"43",4,27,"658.0","538.0",1,20,25,3,"1",25,"happy"
"44",4,28,"808.0","683.0",1,16,27,2,"1",26,"contented"
"45",4,29,"783.0","663.0",1,8,12,2,"1",27,"serious"
"46",5,1,"602.0","724.0",2,16,16,2,"1",1,"tensed"
"47",5,2,"561.0","703.0",2,26,28,2,"1",2,"peaceful"
"48",5,4,"849.0","715.0",1,9,22,3,"1",3,"relaxed"
"49",5,5,"1023.0","882.0",1,24,17,3,"1",4,"peaceful"
"50",5,6,"584.0","708.0",2,18,27,3,"1",5,"peaceful"
"51",5,7,"767.0","642.0",1,14,21,3,"1",6,"relaxed"
"52",5,8,"719.0","585.0",1,17,25,3,"1",7,"relaxed"
"53",5,9,"533.0","697.0",2,22,20,3,"1",8,"peaceful"
"54",5,10,"680.0","799.0",2,13,18,3,"1",9,"peaceful"
"55",5,11,"818.0","687.0",1,18,19,2,"1",10,"peaceful"
"56",5,12,"691.0","571.0",1,18,21,3,"1",11,"peaceful"
"57",5,13,"572.0","693.0",2,15,23,3,"1",12,"relaxed"
"58",5,14,"684.0","551.0",1,23,15,3,"1",13,"relaxed"
"59",5,15,"498.0","619.0",2,20,18,3,"1",14,"happy"
"60",5,16,"788.0","654.0",1,15,16,2,"1",15,"contented"
"61",5,17,"593.0","723.0",2,29,28,2,"1",16,"calm"
"62",5,18,"739.0","927.0",2,21,26,3,"1",17,"peaceful"
"63",5,19,"670.0","800.0",2,21,18,3,"1",18,"peaceful"
"64",6,1,"775.0","644.0",1,10,17,2,"1",1,"relaxed"
"65",6,2,"554.0","678.0",2,28,16,2,"1",2,"calm"
"66",6,3,"551.0","674.0",2,17,25,3,"1",3,"peaceful"
"67",6,4,"696.0","577.0",1,8,19,3,"1",4,"peaceful"
"68",6,5,"574.0","692.0",2,15,13,2,"1",5,"calm"
"69",6,6,"798.0","671.0",1,11,10,3,"1",6,"calm"
"70",7,1,"496.0","635.0",2,16,19,2,"1",1,"happy"
"71",7,2,"756.0","623.0",1,28,28,2,"1",2,"calm"
"72",7,3,"581.0","700.0",2,2,10,3,"1",3,"stressed"
"73",7,4,"756.0","631.0",1,3,23,3,"1",4,"peaceful"
"74",7,5,"765.0","641.0",1,19,22,3,"1",5,"peaceful"
"75",7,7,"640.0","767.0",2,13,15,2,"1",6,"stressed"
"76",7,8,"543.0","660.0",2,1,6,2,"1",7,"peaceful"
"77",8,1,"579.0","706.0",2,10,20,2,"1",1,"peaceful"
"78",8,2,"602.0","735.0",2,4,1,2,"1",2,"calm"
"79",8,4,"820.0","670.0",1,18,12,2,"1",3,"hassled"
"80",8,5,"485.0","624.0",2,14,23,2,"1",4,"hassled"
"81",8,6,"451.0","570.0",2,4,8,3,"1",5,"tensed"
"82",8,7,"474.0","602.0",2,14,17,2,"1",6,"hassled"
"83",9,1,"923.0","797.0",1,5,17,4,"1",1,"calm"
"84",9,2,"733.0","876.0",2,12,14,3,"1",2,"calm"
"85",9,4,"664.0","945.0",2,-1,3,2,"1",3,"stressed"
"86",9,5,"745.0","622.0",1,24,28,3,"1",4,"calm"
"87",9,6,"584.0","706.0",2,6,3,2,"1",5,"stressful"
"88",9,7,"739.0","615.0",1,2,8,3,"1",6,"stressed"
"89",9,8,"705.0","823.0",2,5,20,3,"1",7,"calm"
"90",10,1,"555.0","794.0",2,6,3,3,"1",1,"tense"
"91",10,2,"516.0","638.0",2,10,2,3,"1",2,"calm"
"92",10,3,"699.0","579.0",1,11,8,3,"1",3,"haste"
"93",10,4,"666.0","793.0",2,17,22,2,"1",4,"calm"
"94",10,5,"677.0","801.0",2,19,17,3,"1",5,"calm"
"95",10,6,"539.0","659.0",2,22,25,3,"1",6,"calm"
"96",11,1,"558.0","676.0",2,14,14,3,"1",1,"relaxed"
"97",11,2,"663.0","781.0",2,3,18,3,"1",2,"calm"
"98",11,3,"682.0","1000.0",2,9,15,2,"1",3,"calm"
"99",11,4,"649.0","774.0",2,5,6,2,"1",4,"peaceful"
"100",11,5,"762.0","642.0",1,8,5,3,"1",5,"peaceful"
"101",11,6,"980.0","1175.0",2,16,11,2,"1",6,"peaceful"
"102",11,7,"531.0","657.0",2,6,1,2,"1",7,"calm"
"103",11,8,"774.0","654.0",1,24,22,2,"1",8,"hyper"
"104",11,9,"556.0","725.0",2,9,21,2,"1",9,"calm"
"105",12,2,"541.0","673.0",2,3,16,3,"1",1,"stressed"
"106",12,3,"556.0","687.0",2,6,16,2,"1",2,"calm"
"107",12,4,"642.0","772.0",2,23,20,2,"1",3,"peacefulb"
"108",12,5,"682.0","834.0",2,6,16,2,"1",4,"peaceful"
"109",12,6,"703.0","570.0",1,13,25,3,"1",5,"peaceful"
"110",12,7,"403.0","979.0",2,11,14,3,"1",6,"peaceful"
"111",12,8,"657.0","527.0",1,15,14,3,"1",7,"peaceful"
"112",13,1,"884.0","760.0",1,10,18,3,"1",1,"calm"
"113",13,2,"766.0","646.0",1,5,8,3,"1",2,"calm"
"114",13,3,"602.0","723.0",2,21,2,3,"1",3,"calm"
"115",13,4,"506.0","636.0",2,0,14,3,"1",4,"peaceful"
"116",13,5,"546.0","664.0",2,-9,-1,3,"1",5,"calm"
"117",14,1,"513.0","631.0",2,13,7,2,"1",1,"stressed"
"118",14,3,"960.0","662.0",1,-1,5,2,"1",2,"peaceful"
"119",14,4,"608.0","748.0",2,7,13,2,"1",3,"stressed"
"120",14,5,"726.0","911.0",2,-4,-10,2,"1",4,"stressed"
"121",14,6,"746.0","900.0",2,10,14,2,"1",5,"peaceful"
"122",14,7,"554.0","696.0",2,-6,-3,2,"1",6,"stressed"
"123",14,8,"691.0","542.0",1,11,5,2,"1",7,"calm"
"124",15,1,"579.0","701.0",2,-6,3,3,"1",1,"calm"
"125",15,2,"581.0","702.0",2,-3,-4,2,"1",2,"calm"
"126",15,4,"952.0","1128.0",2,10,15,2,"1",3,"peaceful"
"127",15,5,"535.0","711.0",2,2,4,2,"1",4,"hyper"
