"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,1,"1150.0","912.0",1,-28,-22,3,"1",1,"hurt"
"2",1,2,"741.0","997.0",2,27,13,2,"1",2,"happy"
"3",1,3,"697.0","907.0",2,45,14,4,"1",3,"happy"
"4",1,4,"1010.0","785.0",1,14,-24,4,"1",4,"excited"
"5",1,5,"665.0","837.0",2,14,-13,3,"1",5,"peace"
"6",1,6,"778.0","946.0",2,12,-9,3,"1",6,"neutral"
"7",1,7,"1011.0","840.0",1,-2,-10,2,"1",7,"thrilled"
"8",1,8,"739.0","914.0",2,29,11,4,"1",8,"hally"
"9",1,9,"730.0","916.0",2,45,50,5,"1",9,"glad"
"10",1,10,"916.0","740.0",1,12,2,3,"1",10,"neutral"
"11",1,11,"685.0","856.0",2,25,-6,3,"1",11,"thinking"
"12",1,12,"630.0","802.0",2,-15,-29,4,"1",12,"concentrate"
"13",1,13,"1077.0","905.0",1,-16,-19,3,"1",13,"confused"
"14",1,14,"682.0","982.0",2,-39,-12,4,"1",14,"irritated"
"15",1,15,"828.0","998.0",2,-26,-30,2,"1",15,"angry"
"16",2,1,"948.0","750.0",1,-16,-18,2,"1",1,"sad"
"17",2,2,"1100.0","906.0",1,28,-18,4,"1",2,"happy"
"18",2,3,"1002.0","811.0",1,20,4,2,"1",3,"annoyed"
"19",2,4,"779.0","992.0",2,-4,-3,3,"1",4,"calm"
"20",2,5,"854.0","1044.0",2,50,-15,3,"1",5,"happy"
"21",2,6,"1049.0","875.0",1,-16,-15,3,"1",6,"sad"
"22",2,7,"1062.0","888.0",1,50,-29,4,"1",7,"excited"
"23",2,8,"581.0","775.0",2,15,18,4,"1",8,"pumped up"
"24",3,1,"538.0","784.0",2,1,-2,3,"1",1,"neutral"
"25",3,2,"862.0","1048.0",2,30,23,5,"1",2,"happy"
"26",3,3,"838.0","1031.0",2,26,9,3,"1",3,"shocked"
"27",3,4,"962.0","756.0",1,5,-6,4,"1",4,"serious"
"28",3,5,"1029.0","823.0",1,42,15,4,"1",5,"glad"
"29",3,6,"1161.0","967.0",1,-5,-6,2,"1",6,"focus"
"30",3,7,"1161.0","932.0",1,0,1,2,"1",7,"seruous"
"31",3,8,"928.0","723.0",1,17,-7,4,"1",8,"great"
"32",3,9,"1053.0","851.0",1,-14,-14,3,"1",9,"neutral"
"33",3,10,"771.0","955.0",2,9,11,4,"1",10,"focused"
"34",3,11,"1001.0","802.0",1,21,21,4,"1",11,"serious"
"35",4,1,"1059.0","861.0",1,50,-16,5,"1",1,"hilarious"
"36",4,2,"1106.0","898.0",1,16,12,4,"1",2,"happy"
"37",4,3,"927.0","1151.0",2,11,-7,4,"1",3,"glad"
"38",4,4,"868.0","1060.0",2,-1,-7,4,"1",4,"neutral"
"39",4,5,"744.0","976.0",2,33,22,4,"1",5,"happy"
"40",4,6,"1107.0","910.0",1,34,19,3,"1",6,"excitedv"
