"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,1,"929.0","1099.0",2,50,44,4,"1",1,"happy"
"2",1,2,"1050.0","879.0",1,34,42,3,"1",2,"happy"
"3",1,3,"830.0","649.0",1,28,33,3,"1",3,"happy"
"4",1,4,"899.0","641.0",1,38,11,3,"1",4,"focused"
"5",1,5,"766.0","1092.0",2,26,21,4,"1",5,"focused"
"6",1,7,"1021.0","808.0",1,24,30,3,"1",6,"focused"
"7",1,8,"769.0","964.0",2,30,27,3,"1",7,"nervous"
"8",1,9,"881.0","700.0",1,33,24,4,"1",8,"happy"
"9",1,10,"930.0","738.0",1,34,30,3,"1",9,"focused"
"10",1,11,"689.0","862.0",2,13,31,4,"1",10,"excited"
"11",2,1,"591.0","768.0",2,27,32,3,"1",1,"happy"
"12",2,2,"815.0","624.0",1,25,13,3,"1",2,"relaxed"
"13",2,3,"838.0","668.0",1,26,24,3,"1",3,"happy"
"14",2,5,"590.0","758.0",2,36,12,3,"1",4,"happy"
"15",3,1,"727.0","904.0",2,29,24,4,"1",1,"focused"
"16",3,2,"666.0","846.0",2,24,25,4,"1",2,"focused"
"17",3,2,"666.0","846.0",2,24,25,3,"2",3,"happy"
"18",3,2,"666.0","846.0",2,24,25,3,"3",4,"proud"
"19",3,3,"997.0","656.0",1,1,-1,3,"1",5,"upset"
"20",3,3,"997.0","656.0",1,1,-1,3,"2",6,"annoyed"
"21",3,3,"997.0","656.0",1,1,-1,3,"3",7,"frustrated"
"22",3,3,"997.0","656.0",1,1,-1,3,"4",8,"sad"
"23",3,4,"678.0","865.0",2,6,3,3,"1",9,"sad"
"24",3,4,"678.0","865.0",2,6,3,3,"2",10,"angry"
"25",3,4,"678.0","865.0",2,6,3,3,"3",11,"annoyed"
"26",3,4,"678.0","865.0",2,6,3,3,"4",12,"grateful"
"27",3,6,"637.0","843.0",2,16,32,3,"1",13,"happy"
"28",3,6,"637.0","843.0",2,16,32,3,"2",14,"calm"
"29",3,6,"637.0","843.0",2,16,32,3,"3",15,"eager"
"30",3,7,"720.0","922.0",2,19,-13,3,"1",16,"relaxed"
"31",3,8,"719.0","925.0",2,13,-9,3,"1",17,"relax"
"32",3,9,"595.0","763.0",2,7,-6,3,"1",18,"neutral"
"33",4,1,"799.0","620.0",1,34,32,3,"1",1,"happy"
"34",4,1,"799.0","620.0",1,34,32,3,"2",2,"excited"
"35",4,2,"553.0","749.0",2,27,26,4,"1",3,"happy"
"36",4,3,"843.0","662.0",1,30,29,3,"1",4,"happy"
"37",4,3,"843.0","662.0",1,30,29,3,"2",5,"focused"
"38",4,3,"843.0","662.0",1,30,29,3,"3",6,"relaxed"
"39",4,4,"744.0","958.0",2,29,32,3,"1",7,"happy"
"40",4,4,"744.0","958.0",2,29,32,3,"2",8,"focused"
"41",4,6,"878.0","708.0",1,26,28,3,"1",9,"happy"
"42",4,6,"878.0","708.0",1,26,28,3,"2",10,"relaxed"
"43",4,7,"678.0","853.0",2,31,36,4,"1",11,"happy"
"44",4,7,"678.0","853.0",2,31,36,4,"2",12,"excited"
"45",4,8,"657.0","830.0",2,26,28,4,"1",13,"anxious"
"46",4,9,"619.0","805.0",2,1,34,4,"1",14,"annoyed"
"47",4,10,"691.0","868.0",2,23,25,5,"1",15,"focused"
"48",4,12,"595.0","763.0",2,25,21,3,"1",16,"happy"
"49",5,1,"660.0","832.0",2,29,26,3,"1",1,"happy"
"50",5,1,"660.0","832.0",2,29,26,2,"2",2,"nervous"
"51",5,2,"632.0","805.0",2,30,29,4,"1",3,"focused"
"52",5,2,"632.0","805.0",2,30,29,3,"2",4,"excited"
"53",5,4,"607.0","784.0",2,24,31,3,"1",5,"relaxed"
"54",5,5,"722.0","918.0",2,27,18,3,"1",6,"relaxed"
"55",5,5,"722.0","918.0",2,27,18,3,"2",7,"anxious"
"56",5,5,"722.0","918.0",2,27,18,3,"3",8,"focused"
"57",5,6,"734.0","931.0",2,24,25,3,"1",9,"focused"
"58",5,6,"734.0","931.0",2,24,25,3,"2",10,"anxious"
"59",5,6,"734.0","931.0",2,24,25,3,"3",11,"excited"
"60",5,8,"867.0","699.0",1,24,39,3,"1",12,"anxious"
"61",5,8,"867.0","699.0",1,24,39,3,"2",13,"relaxed"
"62",5,8,"867.0","699.0",1,24,39,3,"3",14,"calm"
"63",5,8,"867.0","699.0",1,24,39,3,"4",15,"happy"
"64",5,9,"969.0","785.0",1,20,22,3,"1",16,"calm"
"65",5,10,"681.0","864.0",2,37,30,3,"1",17,"relaxed"
"66",6,2,"648.0","821.0",2,19,28,4,"1",1,"happy"
"67",6,2,"648.0","821.0",2,19,28,4,"2",2,"focused"
"68",6,3,"779.0","610.0",1,24,26,3,"1",3,"relaxed"
"69",6,4,"683.0","898.0",2,22,15,4,"1",4,"happy"
"70",6,5,"716.0","542.0",1,28,33,4,"1",5,"excited"
"71",6,6,"579.0","747.0",2,31,15,4,"1",6,"anxious"
"72",6,7,"891.0","712.0",1,26,25,3,"1",7,"relieved"
"73",6,8,"721.0","909.0",2,24,28,4,"1",8,"relaxed"
"74",7,1,"662.0","841.0",2,31,30,3,"1",1,"happy"
"75",7,1,"662.0","841.0",2,31,30,3,"2",2,"relaxed"
"76",7,2,"644.0","830.0",2,35,29,3,"1",3,"excited"
"77",7,3,"828.0","650.0",1,27,26,3,"1",4,"happy"
"78",7,3,"828.0","650.0",1,27,26,3,"2",5,"focused"
"79",7,5,"849.0","680.0",1,28,32,4,"1",6,"happy"
"80",7,5,"849.0","680.0",1,28,32,4,"2",7,"excited"
"81",7,5,"849.0","680.0",1,28,32,4,"3",8,"relieved"
"82",7,6,"769.0","598.0",1,32,32,3,"1",9,"happy"
"83",7,6,"769.0","598.0",1,32,32,3,"2",10,"excited"
"84",7,6,"769.0","598.0",1,32,32,4,"3",11,"focused"
"85",7,8,"612.0","796.0",2,28,25,4,"1",12,"happy"
"86",7,8,"612.0","796.0",2,28,25,3,"2",13,"relaxed"
"87",7,8,"612.0","796.0",2,28,25,3,"3",14,"focused"
"88",7,9,"616.0","786.0",2,20,24,4,"1",15,"relaxed"
"89",8,2,"685.0","854.0",2,27,34,3,"1",1,"happy"
"90",8,2,"685.0","854.0",2,27,34,4,"2",2,"excited"
"91",8,2,"685.0","854.0",2,27,34,3,"3",3,"proud"
"92",8,3,"823.0","650.0",1,29,12,4,"1",4,"happy"
"93",8,3,"823.0","650.0",1,29,12,4,"2",5,"calm"
"94",9,1,"679.0","855.0",2,29,31,4,"1",1,"happt"
"95",9,1,"679.0","855.0",2,29,31,4,"2",2,"anxious"
"96",9,2,"648.0","821.0",2,39,36,3,"1",3,"relaxed"
"97",9,2,"648.0","821.0",2,39,36,4,"2",4,"anxious"
"98",9,3,"730.0","920.0",2,20,-3,3,"1",5,"relaxed"
"99",9,4,"702.0","869.0",2,14,10,2,"1",6,"calm"
"100",9,6,"543.0","716.0",2,18,25,3,"1",7,"happy"
"101",9,6,"543.0","716.0",2,18,25,3,"2",8,"annoyed"
"102",9,8,"729.0","560.0",1,21,26,3,"1",9,"happy"
"103",9,9,"816.0","640.0",1,24,13,3,"1",10,"happy"
"104",10,1,"614.0","797.0",2,25,25,3,"1",1,"happy"
"105",10,1,"614.0","797.0",2,25,25,3,"2",2,"proud"
"106",10,1,"614.0","797.0",2,25,25,3,"3",3,"relieved"
"107",10,1,"614.0","797.0",2,25,25,3,"4",4,"focused"
"108",10,2,"652.0","853.0",2,30,24,3,"1",5,"happy"
"109",10,3,"623.0","793.0",2,32,28,3,"1",6,"happy"
"110",10,4,"685.0","860.0",2,28,33,3,"1",7,"relaxed"
"111",10,5,"780.0","608.0",1,33,22,3,"1",8,"focused"
"112",10,6,"660.0","833.0",2,27,25,3,"1",9,"happy"
"113",11,1,"922.0","700.0",1,28,27,3,"1",1,"relaxed"
"114",11,2,"840.0","666.0",1,26,26,3,"1",2,"focused"
"115",11,3,"642.0","829.0",2,16,24,3,"1",3,"happy"
"116",11,5,"614.0","787.0",2,28,32,3,"1",4,"calm"
"117",11,6,"639.0","827.0",2,34,32,3,"1",5,"calm"
"118",11,7,"755.0","578.0",1,34,32,3,"1",6,"calm"
"119",12,1,"1000.0","1345.0",2,21,15,3,"1",1,"happy"
"120",12,1,"1000.0","1345.0",2,21,15,3,"2",2,"tired"
"121",12,2,"769.0","1256.0",2,26,-50,3,"1",3,"focused"
"122",12,3,"664.0","838.0",2,22,29,3,"1",4,"calm"
"123",12,3,"664.0","838.0",2,22,29,4,"2",5,"worn out"
"124",12,4,"683.0","870.0",2,18,10,3,"1",6,"tired"
"125",12,5,"620.0","796.0",2,28,30,3,"1",7,"tired"
"126",12,6,"948.0","747.0",1,2,5,3,"1",8,"tired"
"127",14,2,"678.0","849.0",2,25,23,3,"1",1,"happy"
"128",14,3,"717.0","918.0",2,24,12,3,"1",2,"happy"
"129",14,3,"717.0","918.0",2,24,12,3,"2",3,"calm"
"130",14,4,"623.0","801.0",2,15,22,3,"1",4,"focused"
"131",14,5,"919.0","717.0",1,18,26,3,"1",5,"happy"
"132",14,6,"577.0","760.0",2,14,26,3,"1",6,"happy"
"133",15,1,"553.0","722.0",2,15,18,3,"1",1,"calm"
"134",15,1,"553.0","722.0",2,15,18,3,"2",2,"happy"
"135",15,3,"608.0","788.0",2,25,27,4,"1",3,"calm"
"136",15,5,"883.0","701.0",1,26,26,4,"1",4,"happy"
