"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,1,"735.0","905.0",2,-26,30,3,"1",1,"Angry"
"2",1,3,"624.0","825.0",2,5,38,2,"1",2,"Nervous"
"3",1,4,"584.0","793.0",2,25,40,3,"1",3,"happy"
"4",1,6,"730.0","559.0",1,18,16,2,"1",4,"happy"
"5",1,7,"728.0","560.0",1,-14,29,3,"1",5,"frustrated"
"6",2,1,"612.0","863.0",2,-42,38,4,"1",1,"Angry"
"7",2,1,"612.0","863.0",2,-42,38,4,"2",2,"Frustrated"
"8",2,2,"735.0","922.0",2,-18,13,4,"1",3,"Dejected"
"9",2,2,"735.0","922.0",2,-18,13,2,"2",4,"Sad"
"10",2,4,"739.0","572.0",1,50,50,5,"1",5,"happy"
"11",2,5,"778.0","599.0",1,-50,50,5,"1",6,"angry"
"12",2,7,"571.0","753.0",2,-50,49,5,"1",7,"sad"
"13",2,8,"677.0","945.0",2,-40,13,4,"1",8,"angry"
"14",2,9,"980.0","693.0",1,-38,24,3,"1",9,"Dejected"
"15",2,9,"980.0","693.0",1,-38,24,2,"2",10,"sad"
"16",2,10,"827.0","650.0",1,36,35,4,"1",11,"love"
"17",3,1,"787.0","630.0",1,31,40,4,"1",1,"happy"
"18",3,2,"766.0","605.0",1,45,48,4,"1",2,"happy"
"19",3,2,"766.0","605.0",1,45,48,4,"2",3,"serene"
"20",3,3,"728.0","879.0",2,30,19,4,"1",4,"excited"
"21",3,3,"728.0","879.0",2,30,19,4,"2",5,"amused"
"22",3,4,"781.0","620.0",1,28,32,5,"1",6,"neutral"
"23",3,6,"553.0","711.0",2,36,28,2,"1",7,"Frustrated"
"24",3,7,"595.0","750.0",2,42,47,4,"1",8,"Happy"
"25",3,8,"678.0","844.0",2,48,49,5,"1",9,"happy"
"26",3,9,"537.0","690.0",2,-47,-41,5,"1",10,"sad"
"27",3,9,"537.0","690.0",2,-47,-41,4,"2",11,"dejected"
"28",3,10,"590.0","741.0",2,-41,-35,4,"1",12,"sad"
"29",4,1,"631.0","786.0",2,34,30,4,"1",1,"Happy"
"30",4,1,"631.0","786.0",2,34,30,2,"2",2,"Worried"
"31",4,2,"640.0","803.0",2,38,39,4,"1",3,"happy"
"32",4,3,"714.0","866.0",2,37,38,2,"1",4,"neutral"
"33",4,4,"564.0","724.0",2,26,32,3,"1",5,"happy"
"34",4,5,"674.0","826.0",2,6,4,3,"1",6,"neutra"
"35",4,6,"702.0","869.0",2,9,10,5,"1",7,"neutral"
"36",4,7,"808.0","655.0",1,24,23,4,"1",8,"excited"
"37",4,8,"598.0","762.0",2,40,42,5,"1",9,"neutral"
"38",4,8,"598.0","762.0",2,40,42,4,"2",10,"calm"
"39",4,9,"614.0","788.0",2,50,50,5,"1",11,"Happy"
"40",4,10,"607.0","762.0",2,42,39,4,"1",12,"thrilled"
"41",4,11,"538.0","695.0",2,-24,31,2,"1",13,"sad"
"42",4,13,"624.0","792.0",2,43,49,5,"1",14,"serene"
"43",5,2,"653.0","817.0",2,30,39,5,"1",1,"neutral"
"44",5,3,"802.0","972.0",2,24,31,4,"1",2,"serene"
"45",5,4,"680.0","844.0",2,-28,22,4,"1",3,"frustrated"
"46",5,5,"669.0","836.0",2,16,20,5,"1",4,"neutral"
"47",5,6,"628.0","785.0",2,27,19,4,"1",5,"amused"
"48",5,7,"599.0","755.0",2,30,35,4,"1",6,"serene"
"49",5,8,"815.0","658.0",1,18,40,4,"1",7,"neutral"
"50",5,10,"588.0","747.0",2,47,45,5,"1",8,"happy"
"51",5,11,"547.0","705.0",2,41,41,4,"1",9,"happy"
"52",5,12,"574.0","742.0",2,49,50,5,"1",10,"happy"
"53",6,1,"589.0","743.0",2,23,30,4,"1",1,"neutral"
"54",6,1,"589.0","743.0",2,23,30,4,"2",2,"happy"
"55",6,2,"668.0","993.0",2,-30,28,5,"1",3,"excited"
"56",6,2,"668.0","993.0",2,-30,28,2,"2",4,"sad"
"57",6,3,"759.0","930.0",2,18,-26,4,"1",5,"serene"
"58",6,4,"719.0","880.0",2,35,37,4,"1",6,"happy"
"59",6,5,"793.0","958.0",2,27,14,5,"1",7,"neutral"
"60",6,6,"607.0","769.0",2,36,37,5,"1",8,"excited"
"61",6,7,"582.0","747.0",2,-35,37,4,"1",9,"frustrated"
"62",6,8,"643.0","811.0",2,5,1,4,"1",10,"neutral"
"63",6,10,"561.0","716.0",2,34,44,5,"1",11,"happy"
"64",7,1,"629.0","791.0",2,18,22,5,"1",1,"serene"
"65",7,2,"612.0","765.0",2,-2,0,5,"1",2,"neutral"
"66",7,3,"753.0","903.0",2,-25,28,4,"1",3,"sad"
"67",7,4,"698.0","851.0",2,28,36,4,"1",4,"happy"
"68",7,5,"689.0","850.0",2,30,33,4,"1",5,"neutral"
"69",7,7,"699.0","856.0",2,-30,33,4,"1",6,"sad"
"70",7,9,"636.0","800.0",2,29,29,4,"1",7,"happy"
"71",7,9,"636.0","800.0",2,29,29,4,"2",8,"serene"
"72",7,10,"537.0","699.0",2,29,34,4,"1",9,"neutral"
"73",7,11,"608.0","769.0",2,24,33,4,"1",10,"happy"
"74",7,12,"712.0","551.0",1,36,37,4,"1",11,"neutral"
"75",7,13,"556.0","775.0",2,6,29,4,"1",12,"serene"
"76",7,14,"782.0","632.0",1,-27,41,3,"1",13,"sad"
"77",8,1,"833.0","683.0",1,29,22,4,"1",1,"neutral"
"78",8,3,"827.0","669.0",1,34,36,4,"1",2,"happy"
"79",8,4,"642.0","809.0",2,35,-21,5,"1",3,"neutral"
"80",8,5,"621.0","777.0",2,25,19,4,"1",4,"happy"
"81",8,6,"816.0","1015.0",2,20,24,4,"1",5,"neutral"
"82",8,7,"785.0","948.0",2,7,1,4,"1",6,"neutral"
"83",8,8,"714.0","914.0",2,14,18,4,"1",7,"neutral"
"84",8,9,"869.0","703.0",1,-22,27,4,"1",8,"neutral"
"85",8,9,"869.0","703.0",1,-22,27,2,"2",9,"frustrated"
"86",8,10,"719.0","870.0",2,30,25,4,"1",10,"me
neutral"
"87",8,11,"810.0","1029.0",2,-12,2,5,"1",11,"neutral"
"88",9,1,"692.0","848.0",2,34,32,4,"1",1,"neutral"
"89",9,2,"708.0","888.0",2,6,3,2,"1",2,"frustrated"
"90",9,3,"693.0","851.0",2,-18,31,4,"1",3,"sad"
"91",9,4,"902.0","752.0",1,30,29,4,"1",4,"happy"
"92",9,5,"795.0","639.0",1,38,42,4,"1",5,"happy"
"93",9,6,"657.0","863.0",2,45,47,4,"1",6,"happy"
"94",9,7,"737.0","907.0",2,-27,27,4,"1",7,"frustrated"
"95",9,8,"594.0","778.0",2,33,34,4,"1",8,"happy"
"96",10,1,"1046.0","690.0",1,-3,0,5,"1",1,"neutral"
"97",10,2,"769.0","1049.0",2,-23,28,3,"1",2,"sad"
"98",10,3,"663.0","817.0",2,35,29,4,"1",3,"neutral"
"99",10,4,"606.0","757.0",2,-20,30,2,"1",4,"frustrated"
"100",10,4,"606.0","757.0",2,-20,30,4,"2",5,"disgusted"
"101",10,5,"888.0","729.0",1,30,28,4,"1",6,"neutral"
"102",10,6,"695.0","846.0",2,41,45,4,"1",7,"happy"
"103",10,7,"762.0","608.0",1,-31,34,4,"1",8,"sad"
"104",10,8,"610.0","772.0",2,50,50,5,"1",9,"happy"
"105",10,9,"592.0","748.0",2,29,32,4,"1",10,"excited"
"106",10,10,"524.0","712.0",2,5,0,4,"1",11,"neutral"
"107",10,11,"573.0","724.0",2,0,0,4,"1",12,"frustrated"
"108",10,12,"633.0","785.0",2,38,40,4,"1",13,"surprised"
"109",10,12,"633.0","785.0",2,38,40,4,"2",14,"happy"
"110",11,1,"784.0","956.0",2,4,-4,4,"1",1,"neutral"
"111",11,2,"891.0","736.0",1,2,2,4,"1",2,"neutral"
"112",11,3,"718.0","874.0",2,39,40,4,"1",3,"serene"
"113",11,4,"626.0","803.0",2,29,27,4,"1",4,"happy"
"114",11,5,"806.0","655.0",1,-5,-3,4,"1",5,"neutral"
"115",11,6,"858.0","705.0",1,32,32,4,"1",6,"amused"
"116",11,7,"801.0","649.0",1,31,34,4,"1",7,"neutral"
"117",11,8,"534.0","690.0",2,39,37,4,"1",8,"happy"
"118",11,8,"534.0","690.0",2,39,37,4,"2",9,"surprised"
"119",11,9,"550.0","704.0",2,-30,31,4,"1",10,"frustrated"
"120",11,10,"570.0","767.0",2,-35,-19,4,"1",11,"tired"
"121",11,11,"882.0","721.0",1,8,-4,4,"1",12,"neutral"
"122",12,1,"813.0","1068.0",2,29,28,5,"1",1,"neutral"
"123",12,2,"577.0","727.0",2,-37,31,4,"1",2,"sad"
"124",12,3,"575.0","731.0",2,41,42,4,"1",3,"happy"
"125",12,4,"625.0","779.0",2,28,30,4,"1",4,"happy"
"126",12,5,"553.0","706.0",2,-35,24,4,"1",5,"sad"
"127",12,6,"842.0","669.0",1,32,38,4,"1",6,"amused"
"128",12,8,"679.0","844.0",2,-21,16,4,"1",7,"worn out"
"129",13,1,"526.0","687.0",2,26,42,4,"1",1,"happy"
"130",13,1,"526.0","687.0",2,26,42,4,"2",2,"nervous"
"131",13,2,"596.0","751.0",2,35,36,4,"1",3,"amused"
"132",13,3,"473.0","636.0",2,34,32,4,"1",4,"neutral"
"133",13,4,"594.0","744.0",2,-24,13,4,"1",5,"confused"
"134",13,5,"733.0","580.0",1,-42,28,4,"1",6,"angry"
"135",14,1,"558.0","715.0",2,32,28,4,"1",1,"happy"
"136",14,3,"728.0","578.0",1,44,43,5,"1",2,"happy"
"137",14,4,"557.0","721.0",2,26,34,4,"1",3,"neutral"
"138",14,5,"519.0","677.0",2,35,38,5,"1",4,"happy"
"139",14,6,"540.0","705.0",2,41,39,4,"1",5,"happy"
"140",14,7,"535.0","719.0",2,34,34,4,"1",6,"happy"
"141",15,1,"577.0","750.0",2,27,24,4,"1",1,"neutral"
"142",15,2,"794.0","953.0",2,-32,-37,4,"1",2,"neutral"
"143",15,3,"611.0","765.0",2,-26,-22,5,"1",3,"angry"
"144",15,4,"764.0","956.0",2,-24,26,4,"1",4,"angry"
"145",15,5,"861.0","678.0",1,-36,-19,4,"1",5,"neutral"
"146",15,6,"725.0","910.0",2,3,4,4,"1",6,"neutral"
"147",15,7,"963.0","805.0",1,12,17,4,"1",7,"angry"
"148",15,10,"565.0","721.0",2,26,25,4,"1",8,"happy"
